,SP500,Temp,INDPRO
1978-06-30,4.559440334281917,0.04,50.4751
1978-07-31,4.611947170267115,0.09,50.4371
1978-08-31,4.637540566018542,-0.07,50.6393
1978-09-30,4.630252966355554,0.1,50.7631
1978-10-31,4.5342110970475975,0.06,51.1523
1978-11-30,4.550714000192032,0.18,51.5456
1978-12-31,4.565493368835193,0.13,51.806
1979-01-31,4.604469940873698,0.16,51.525
1979-02-28,4.567260612914871,-0.04,51.778
1979-03-31,4.620945105103454,0.18,51.9382
1979-04-30,4.622617099591812,0.1,51.3251
1979-05-31,4.595927604621159,0.14,51.7782
1979-06-30,4.6338548198480005,0.19,51.7865
1979-07-31,4.642562305205154,0.12,51.7029
1979-08-31,4.694279361059867,0.21,51.3658
1979-09-30,4.694279361059867,0.28,51.3623
1979-10-31,4.62320654847419,0.28,51.7175
1979-11-30,4.664947390023952,0.28,51.6341
1979-12-31,4.681575517190497,0.51,51.6694
1980-01-31,4.737600973168581,0.37,51.944
1980-02-29,4.733211535868976,0.46,51.9633
1980-03-31,4.625854777180924,0.35,51.7454
1980-04-30,4.66617120754549,0.35,50.7197
1980-05-31,4.711690029365764,0.39,49.4766
1980-06-30,4.738301498591274,0.27,48.8383
1980-07-31,4.801312461799358,0.31,48.4907
1980-08-31,4.807130958034395,0.28,48.6456
1980-09-30,4.831986982668597,0.25,49.4578
1980-10-31,4.84788104279483,0.19,50.0861
1980-11-30,4.945349827397626,0.26,50.9209
1980-12-31,4.910888620925971,0.23,51.257
1981-01-31,4.8640669070081195,0.52,50.9328
1981-02-28,4.877256270815316,0.43,50.7237
1981-03-31,4.912654885736052,0.47,50.9806
1981-04-30,4.8889195354121595,0.34,50.7661
1981-05-31,4.887261660126628,0.28,51.0552
1981-06-30,4.876799093117625,0.33,51.3214
1981-07-31,4.87458644963298,0.32,51.6555
1981-08-31,4.810475579172421,0.35,51.5903
1981-09-30,4.755140712564386,0.22,51.3429
1981-10-31,4.803118998667745,0.25,50.9463
1981-11-30,4.839055833834204,0.29,50.3546
1981-12-31,4.808519109974122,0.46,49.8086
1982-01-31,4.79081953287472,0.1,48.7877
1982-02-28,4.7283607965432894,0.21,49.7839
1982-03-31,4.718141664647253,0.05,49.4477
1982-04-30,4.757376118877422,0.15,48.9913
1982-05-31,4.717426868333759,0.18,48.6669
1982-06-30,4.696928611227632,0.1,48.5415
1982-07-31,4.673669602412784,0.19,48.3775
1982-08-31,4.783400049878789,0.11,47.9382
1982-09-30,4.790985632036302,0.2,47.8139
1982-10-31,4.895673275626574,0.17,47.3575
1982-11-30,4.931159092594459,0.16,47.2078
1982-12-31,4.946203433936867,0.44,46.8713
1983-01-31,4.9788005705762375,0.49,47.7398
1983-02-28,4.997617597014952,0.46,47.4484
1983-03-31,5.030176449303092,0.42,47.8426
1983-04-30,5.102424129723987,0.28,48.4483
1983-05-31,5.090000849476996,0.37,48.747
1983-06-30,5.124618527044968,0.3,49.0434
1983-07-31,5.091047164390117,0.23,49.7739
1983-08-31,5.10230248262208,0.37,50.364
1983-09-30,5.112409386218662,0.42,51.0937
1983-10-31,5.097118753984393,0.22,51.4902
1983-11-30,5.114394528387108,0.35,51.721
1983-12-31,5.105521141460061,0.23,51.9769
1984-01-31,5.096262380063693,0.3,53.0088
1984-02-29,5.056627897946728,0.2,53.2486
1984-03-31,5.070035637377703,0.31,53.5028
1984-04-30,5.075486266415872,0.12,53.8233
1984-05-31,5.014295254927743,0.36,54.1104
1984-06-30,5.031613700481447,0.11,54.3075
1984-07-31,5.015025642397549,0.18,54.4587
1984-08-31,5.116075806554253,0.21,54.5239
1984-09-30,5.112590016619249,0.24,54.3696
1984-10-31,5.112529810110908,0.17,54.3474
1984-11-30,5.097302167306828,0.08,54.529
1984-12-31,5.119429906488365,0.02,54.5556
1985-01-31,5.190899179780744,0.28,54.527
1985-02-28,5.1994910122411415,0.04,54.6871
1985-03-31,5.1966168117216975,0.21,54.7673
1985-04-30,5.192011960177106,0.14,54.6467
1985-05-31,5.244652841962344,0.2,54.7396
1985-06-30,5.256713816692962,0.2,54.711
1985-07-31,5.251854492137696,0.04,54.4365
1985-08-31,5.239787424357633,0.17,54.6121
1985-09-30,5.204446150937966,0.17,54.8147
1985-10-31,5.246076254702346,0.13,54.6228
1985-11-30,5.3091089276262355,0.11,54.8123
1985-12-31,5.353184267988877,0.19,55.3553
1986-01-31,5.355548000002308,0.28,55.6453
1986-02-28,5.424597532458367,0.4,55.2634
1986-03-31,5.476045054331764,0.31,54.8728
1986-04-30,5.461795835540512,0.26,54.935
1986-05-31,5.510804337673718,0.27,55.0399
1986-06-30,5.52481528567482,0.17,54.826
1986-07-31,5.464340150372489,0.17,55.167
1986-08-31,5.533112770602694,0.2,55.0726
1986-09-30,5.443802033290018,0.13,55.2237
1986-10-31,5.497086254720592,0.18,55.4589
1986-11-30,5.518336040514722,0.14,55.6763
1986-12-31,5.48963995887241,0.21,56.2078
1987-01-31,5.613420034575809,0.34,55.9911
1987-02-28,5.649678215663,0.39,56.7373
1987-03-31,5.675725876873676,0.2,56.8136
1987-04-30,5.664209699536378,0.26,57.185
1987-05-31,5.670225691127358,0.31,57.5424
1987-06-30,5.717027701406222,0.36,57.8502
1987-07-31,5.764124703662363,0.48,58.2421
1987-08-31,5.7984864101254985,0.31,58.6784
1987-09-30,5.774023455819012,0.4,58.9088
1987-10-31,5.528595406762846,0.33,59.7008
1987-11-30,5.439382806826639,0.26,59.9956
1987-12-31,5.509712170827698,0.45,60.3246
1988-01-31,5.549348421349137,0.55,60.309
1988-02-29,5.59031511306742,0.46,60.6122
1988-03-31,5.556403261059811,0.52,60.7452
1988-04-30,5.56578397649891,0.46,61.108
1988-05-31,5.568955004390559,0.46,60.9843
1988-06-30,5.611301621862036,0.43,61.1615
1988-07-31,5.605875593004607,0.36,61.171
1988-08-31,5.566510762415955,0.41,61.4771
1988-09-30,5.605471129189412,0.39,61.2785
1988-10-31,5.6311042491582155,0.36,61.5488
1988-11-30,5.612032616046633,0.14,61.7049
1988-12-31,5.626613411885073,0.29,61.9851
1989-01-31,5.695313379564822,0.1,62.1677
1989-02-28,5.665942141673021,0.32,61.8916
1989-03-31,5.686534581246648,0.32,62.0508
1989-04-30,5.735410332336513,0.31,62.0289
1989-05-31,5.76994467690987,0.2,61.6871
1989-06-30,5.761988487720563,0.22,61.6857
1989-07-31,5.846669962204748,0.3,61.0896
1989-08-31,5.862067453621914,0.33,61.6847
1989-09-30,5.8555016292920445,0.39,61.4794
1989-10-31,5.830003880981357,0.32,61.4014
1989-11-30,5.846409872905957,0.17,61.6081
1989-12-31,5.867600559885596,0.41,61.9588
1990-01-31,5.79630088230073,0.39,61.6352
1990-02-28,5.804803588714929,0.38,62.1951
1990-03-31,5.828769131449206,0.76,62.4916
1990-04-30,5.801513963149536,0.61,62.3511
1990-05-31,5.889514874572237,0.52,62.5353
1990-06-30,5.880588850762045,0.39,62.7479
1990-07-31,5.875351990424363,0.42,62.6435
1990-08-31,5.776289165442949,0.35,62.8704
1990-09-30,5.723748487297079,0.32,62.8839
1990-10-31,5.717027701406222,0.42,62.4973
1990-11-30,5.775234542062841,0.41,61.7175
1990-12-31,5.799759099003687,0.42,61.2885
1991-01-31,5.840438148294737,0.4,61.0842
1991-02-28,5.905552565561653,0.5,60.6387
1991-03-31,5.927512520615465,0.37,60.2973
1991-04-30,5.927858924019011,0.52,60.4524
1991-05-31,5.965710746656891,0.42,61.0587
1991-06-30,5.916633236484978,0.55,61.5514
1991-07-31,5.960515528963966,0.48,61.7201
1991-08-31,5.979973780392484,0.42,61.7289
1991-09-30,5.960644449768095,0.42,62.2369
1991-10-31,5.9724346212011765,0.33,62.1718
1991-11-30,5.927512520615465,0.3,62.0894
1991-12-31,6.0333020258495615,0.29,61.806
1992-01-31,6.0132015767507685,0.44,61.4823
1992-02-29,6.022720936758536,0.43,61.9192
1992-03-31,6.000647256682635,0.47,62.4403
1992-04-30,6.028158031044457,0.29,62.9199
1992-05-31,6.0291215382850805,0.34,63.1268
1992-06-30,6.011610252800939,0.3,63.1624
1992-07-31,6.050228615638675,0.14,63.7348
1992-08-31,6.025938434968058,0.11,63.3802
1992-09-30,6.035002849122465,0.04,63.5834
1992-10-31,6.0371069049866835,0.06,64.0178
1992-11-30,6.066919825522588,0.05,64.2628
1992-12-31,6.076976884432196,0.2,64.3599
1993-01-31,6.083998148510915,0.33,64.6135
1993-02-28,6.094427190165807,0.39,64.9262
1993-03-31,6.11295182469226,0.37,64.8627
1993-04-30,6.087206451887485,0.32,65.0423
1993-05-31,6.109669715875867,0.3,64.8006
1993-06-30,6.110424667506004,0.31,64.9476
1993-07-31,6.105083368892755,0.27,65.1142
1993-08-31,6.138935826466191,0.18,65.0421
1993-09-30,6.128897692983784,0.19,65.3749
1993-10-31,6.148104982063913,0.26,65.863
1993-11-30,6.135110242290093,0.08,66.1696
1993-12-31,6.14515083340697,0.21,66.5531
1994-01-31,6.177134657898641,0.23,66.7591
1994-02-28,6.146628998609331,0.06,66.8019
1994-03-31,6.099803123936366,0.3,67.4704
1994-04-30,6.111267763047603,0.39,67.8707
1994-05-31,6.1235887000350235,0.33,68.187
1994-06-30,6.096432485717521,0.43,68.645
1994-07-31,6.127436708631197,0.32,68.7317
1994-08-31,6.164345851270085,0.24,69.1882
1994-09-30,6.1370572834036325,0.35,69.3935
1994-10-31,6.157720236215144,0.44,69.9576
